List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1 and 2,Q8R519,ACMSD,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q99L48,NMD3,60S ribosomal export protein NMD3,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9CQR4,ACOT13,Acyl-coenzyme A thioesterase 13,Gel-LC only,2,44,,,,,,,,
List 1 and 2,O35298,AOAH,Acyloxyacyl hydrolase,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9D3E6,STAG1,Cohesin subunit SA-1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8C9S8,ATG4A,Cysteine protease ATG4A,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q62108,DLG4,Disks large homolog 4,Gel-LC only,2,44,,,Yes,,,Yes,,
List 1 and 2,O89114,DNAJB5,DnaJ homolog subfamily B member 5,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q80TP3,UBR5,E3 ubiquitin-protein ligase UBR5,Gel-LC only,3,44,,,,,,,,
List 1 and 2,Q61772,EPHA7,Ephrin type-A receptor 7,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8BWY3,ETF1,Eukaryotic peptide chain release factor subunit 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9QZ05,EIF2AK4,Eukaryotic translation initiation factor 2-alpha kinase 4,Gel-LC only,2,44,,,,,,,,
List 1 and 2,A2AKB4,FRMPD1,FERM and PDZ domain-containing protein 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q61088,FZD4,Frizzled-4,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P24860,CCNB1,G2/mitotic-specific cyclin-B1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P52792,GCK,Glucokinase,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q99JX3,GORASP2,Golgi reassembly-stacking protein 2,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8K259,GIN1,Gypsy retrotransposon integrase-like protein 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8VDM6,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P09065,EN1,Homeobox protein engrailed-1,Gel-LC only,3,44,,,,,,,,
List 1 and 2,Q8VHD8,HRNR,Hornerin,Gel-LC only,5,44,,,,,,,,
List 1 and 2,Q8R0S2,IQSEC1,IQ motif and SEC7 domain-containing protein 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q7TNC6,KIF26B,Kinesin-like protein KIF26B,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9D2V8,MFSD10,Major facilitator superfamily domain-containing protein 10,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q80Y86,MAPK15,Mitogen-activated protein kinase 15,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P59759,MKL2,MKL/myocardin-like protein 2,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P60882,MEGF8,Multiple epidermal growth factor-like domains protein 8,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9Z2D1,MTMR2,Myotubularin-related protein 2,Gel-LC only,3,44,,,,,,,,
List 1 and 2,Q810U4,NRCAM,Neuronal cell adhesion molecule,Gel-LC only,2,44,,,Yes,,,Yes,,
List 1 and 2,Q8R2U0,SEH1L,Nucleoporin SEH1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q80UG2,PLXNA4,Plexin-A4,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q99PV0,PRPF8,Pre-mRNA-processing-splicing factor 8,Gel-LC only,2,44,,,,,,,,
List 1 and 2,O70435,PSMA3,Proteasome subunit alpha type-3,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P70403,CUX1,Protein CASP,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8CDM8,FAM160B1,Protein FAM160B1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q148V8,FAM83H,Protein FAM83H,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q7TMK6,HOOK2,Protein Hook homolog 2,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q62315,JARID2,Protein Jumonji,Gel-LC only,2,44,,,,,,,,
List 1 and 2,O70281,TPST1,Protein-tyrosine sulfotransferase 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q80TM6,R3HDM2,R3H domain-containing protein 2,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8C796,RCOR2,REST corepressor 2,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9Z0J1,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q61210,ARHGEF1,Rho guanine nucleotide exchange factor 1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8BWA8,ARHGEF19,Rho guanine nucleotide exchange factor 19,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9JJA4,WDR12,Ribosome biogenesis protein WDR12,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P16014,CHGB,Secretogranin-1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q5XJV6,LMTK3,Serine/threonine-protein kinase LMTK3,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q04859,MAK,Serine/threonine-protein kinase MAK,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q62087,PON3,Serum paraoxonase/lactonase 3,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q8BZ64,TCTN1,Tectonic-1,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q9DC40,TELO2,Telomere length regulation protein TEL2 homolog,Gel-LC only,3,44,,,,,,,,
List 1 and 2,Q8BV79,LBA1,TPR and ankyrin repeat-containing protein 1,Gel-LC only,3,44,,,,,,,,
List 1 and 2,Q8BMZ5,TSEN34,tRNA-splicing endonuclease subunit Sen34,Gel-LC only,2,44,,,,,,,,
List 1 and 2,Q4G0F8,UBN1,Ubinuclein-1,Gel-LC only,2,44,,,Yes,,,,,
List 1 and 2,P63143,KCNAB1,Voltage-gated potassium channel subunit beta-1,Gel-LC only,2,44,Yes,,,,,,,
List 1 and 2,Q3U3T8,WDR62,WD repeat-containing protein 62,Gel-LC only,2,44,,,,,,,,
List 1 and 2,P62717,RPL18A,60S ribosomal protein L18a,Gel-LC only,2,43,,,,,,,,
List 1 and 2,O35945,ALDH1A7,"Aldehyde dehydrogenase, cytosolic 1",Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8BH66,ATL1,Atlastin-1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P82349,SGCB,Beta-sarcoglycan,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8C078,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8BMK0,CCDC21,Centrosomal protein of 85 kDa,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9CQ10,VPS24,Charged multivesicular body protein 3,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9Z0E2,CHRD,Chordin,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P50172,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9Z2V9,CCNI,Cyclin-I,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q76KJ5,CD3EAP,DNA-directed RNA polymerase I subunit RPA34,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q5SUS0,FBXW10,F-box/WD repeat-containing protein 10,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8C0V9,FRMD6,FERM domain-containing protein 6,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P35436,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A",Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q01097,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B",Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q2NL51,GSK3A,Glycogen synthase kinase-3 alpha,Gel-LC only,4,43,,,,,,,,
List 1 and 2,Q9JKY5,HIP1R,Huntingtin-interacting protein 1-related protein,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P15208,INSR,Insulin receptor,Gel-LC only,2,43,,Yes,,,,Yes,,
List 1 and 2,Q9D0F1,NDC80,Kinetochore protein NDC80 homolog,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q3UM18,LSG1,Large subunit GTPase 1 homolog,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q80TE7,LRRC7,Leucine-rich repeat-containing protein 7,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q9WUL6,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,Gel-LC only,4,43,,,,,,,,
List 1 and 2,Q8K296,MTMR3,Myotubularin-related protein 3,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q9JK37,MYOZ1,Myozenin-1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q6A037,N4BP1,NEDD4-binding protein 1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8CH40,NUDT6,Nucleoside diphosphate-linked moiety X motif 6,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9DBG5,PLIN3,Perilipin-3,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P48193,EPB41,Protein 4.1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q6PG95,CRAMP1L,Protein cramped-like,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q8BK03,FAM73B,Protein FAM73B,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q62074,PRKCI,Protein kinase C iota type,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q62084,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B,Gel-LC only,2,43,,,,,,,,
List 1 and 2,A2A690,TANC2,Protein TANC2,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8BGW0,THEMIS,Protein THEMIS,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8BKZ9,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",Gel-LC only,2,43,,,,,,,,
List 1 and 2,O35551,RABEP1,Rab GTPase-binding effector protein 1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8R2S1,RPS6KL1,Ribosomal protein S6 kinase-like 1,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q80U40,RIMBP2,RIMS-binding protein 2,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9D7H3,RTCD1,RNA 3'-terminal phosphate cyclase,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q9QY01,ULK2,Serine/threonine-protein kinase ULK2,Gel-LC only,3,43,,,,,,,,
List 1 and 2,Q8C110,SLITRK6,SLIT and NTRK-like protein 6,Gel-LC only,2,43,,,,,,,,
List 1 and 2,P62317,SNRPD2,Small nuclear ribonucleoprotein Sm D2,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9D8T7,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8CHC4,SYNJ1,Synaptojanin-1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q60770,STXBP3,Syntaxin-binding protein 3,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8BKH7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9Z1T2,THBS4,Thrombospondin-4,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9WUU8,TNIP1,TNFAIP3-interacting protein 1,Gel-LC only,4,43,,,,,,,,
List 1 and 2,Q60846,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q8CCF0,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9D565,WDR64,WD repeat-containing protein 64,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q9EPQ2,RPGRIP1,X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,Gel-LC only,2,43,,,,,,,,
List 1 and 2,B2RRE4,ZNF518B,Zinc finger protein 518B,Gel-LC only,2,43,,,,,,,,
List 1 and 2,Q56A10,ZNF608,Zinc finger protein 608,Gel-LC only,3,43,,,,,,,,
List 1 and 2,O35348,COLQ,Acetylcholinesterase collagenic tail peptide,Gel-LC only,3,42,,,,,,,,
List 1 and 2,P97823,LYPLA1,Acyl-protein thioesterase 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9QYY9,ADH4,Alcohol dehydrogenase 4,Gel-LC only,2,42,,,,,,,,
List 1 and 2,P98203,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q8K441,ABCA6,ATP-binding cassette sub-family A member 6,Gel-LC only,2,42,,,,Yes,,,,
List 1 and 2,Q921K9,BCL7B,B-cell CLL/lymphoma 7 protein family member B,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q8BRT1,CLASP2,CLIP-associating protein 2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9JLB4,CUBN,Cubilin,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9WV69,EPB49,Dematin,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q8CHR6,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q3UH60,DIP2B,Disco-interacting protein 2 homolog B,Gel-LC only,3,42,,,,,,,,
List 1 and 2,Q9WVF7,POLE,DNA polymerase epsilon catalytic subunit A,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9ERU9,RANBP2,E3 SUMO-protein ligase RanBP2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q8CDU5,EFHB,EF-hand domain-containing family member B,Gel-LC only,2,42,,,,,,,,
List 1 and 2,P70694,AKR1C6,Estradiol 17 beta-dehydrogenase 5,Gel-LC only,2,42,,,,,,,,
List 1 and 2,P43006,SLC1A2,Excitatory amino acid transporter 2,Gel-LC only,2,42,,,,Yes,,,,
List 1 and 2,O35601,FYB,FYN-binding protein,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q3UA37,QRICH1,Glutamine-rich protein 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9WVD4,CLCN5,H(+)/Cl(-) exchange transporter 5,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9Z0R6,ITSN2,Intersectin-2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q5PSV9,MDC1,Mediator of DNA damage checkpoint protein 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q61847,MEP1B,Meprin A subunit beta,Gel-LC only,2,42,,,,,,,,
List 1 and 2,P10637,MAPT,Microtubule-associated protein tau,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q6DIB5,MEGF10,Multiple epidermal growth factor-like domains protein 10,Gel-LC only,2,42,,,,,,,,
List 1 and 2,P97434,MPRIP,Myosin phosphatase Rho-interacting protein,Gel-LC only,2,42,,,,,,,,
List 1 and 2,O35973,PER1,Period circadian protein homolog 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9JHG7,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Gel-LC only,2,42,,,,,,,,
List 1 and 2,P20918,PLG,Plasminogen,Gel-LC only,3,42,,,,,,,,
List 1 and 2,Q8C1C1,PSAPL1,Proactivator polypeptide-like 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q69ZK6,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,Gel-LC only,2,42,,,,,,,,
List 1 and 2,O08976,PBSN,Probasin,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q6PE13,PRRT3,Proline-rich transmembrane protein 3,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q64700,RBL2,Retinoblastoma-like protein 2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q61818,RAI1,Retinoic acid-induced protein 1,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9ERI6,RDH14,Retinol dehydrogenase 14,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q80W00,PPP1R10,Serine/threonine-protein phosphatase 1 regulatory subunit 10,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9WVC5,TRPC7,Short transient receptor potential channel 7,Gel-LC only,2,42,Yes,,,,,,,
List 1 and 2,Q62205,SCN9A,Sodium channel protein type 9 subunit alpha,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q8VHQ2,SOCS7,Suppressor of cytokine signaling 7,Gel-LC only,3,42,,,,,,,,
List 1 and 2,Q8K1H7,TCP11L2,T-complex protein 11-like protein 2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q5BLK4,ZCCHC6,Terminal uridylyltransferase 7,Gel-LC only,3,42,,,,,,,,
List 1 and 2,Q9D305,THAP2,THAP domain-containing protein 2,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q6ZPJ3,UBE2O,Ubiquitin-conjugating enzyme E2 O,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q920Q4,VPS16,Vacuolar protein sorting-associated protein 16 homolog,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q9Z1Q9,VARS,Valine--tRNA ligase,Gel-LC only,2,42,,,,,,,,
List 1 and 2,Q6PGL7,FAM21,WASH complex subunit FAM21,Gel-LC only,2,42,,,,,,,,
List 1 and 2,O55028,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9QXE0,HACL1,2-hydroxyacyl-CoA lyase 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9WUU9,MCM3AP,80 kDa MCM3-associated protein,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P97819,PLA2G6,85/88 kDa calcium-independent phospholipase A2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q571I9,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8R420,ABCA3,ATP-binding cassette sub-family A member 3,Gel-LC only,2,41,,,,Yes,,,,
List 1 and 2,O88967,YME1L1,ATP-dependent zinc metalloprotease YME1L1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8BHX3,CDCA8,Borealin,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q80Y61,BAIAP2L2,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q922D8,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q6A068,CDC5L,Cell division cycle 5-like protein,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9WVK8,CYP46A1,Cholesterol 24-hydroxylase,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8R2G6,CCDC80,Coiled-coil domain-containing protein 80,Gel-LC only,2,41,,,,,Yes,,,
List 1 and 2,Q9ESN4,C1QL3,Complement C1q-like protein 3,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q52KE7,CCNL1,Cyclin-L1,Gel-LC only,3,41,,,,,,,,
List 1 and 2,P98078,DAB2,Disabled homolog 2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q69ZS0,PDZRN3,E3 ubiquitin-protein ligase PDZRN3,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P54754,EPHB3,Ephrin type-B receptor 3,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q99KI3,TMEM111,ER membrane protein complex subunit 3,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9JHC9,ELF2,ETS-related transcription factor Elf-2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q80ZA4,PKHD1L1,Fibrocystin-L,Gel-LC only,3,41,,,,,,,,
List 1 and 2,Q61626,GRIK5,"Glutamate receptor ionotropic, kainate 5",Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q6R0H7,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,Gel-LC only,2,41,,Yes,,,,Yes,,
List 1 and 2,O35367,KERA,Keratocan,Gel-LC only,2,41,,,,,Yes,,,
List 1 and 2,Q7M6Z4,KIF27,Kinesin-like protein KIF27,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q3UHC2,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q924C6,LOXL4,Lysyl oxidase homolog 4,Gel-LC only,3,41,,,,,,,,
List 1 and 2,Q80VA0,GALNT7,N-acetylgalactosaminyltransferase 7,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8CAF4,NHSL1,NHS-like protein 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P12813,NR4A1,Nuclear receptor subfamily 4 group A member 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P63015,PAX6,Paired box protein Pax-6,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9R0L6,PCM1,Pericentriolar material 1 protein,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8CI19,PDGFC,Platelet-derived growth factor C,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P25425,POU2F1,"POU domain, class 2, transcription factor 1",Gel-LC only,2,41,,,,,,,,
List 1 and 2,P30558,F2R,Proteinase-activated receptor 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q3UZD5,PRDM6,Putative histone-lysine N-methyltransferase PRDM6,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9EQZ7,RIMS2,Regulating synaptic membrane exocytosis protein 2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,A2AWP8,ARHGEF10L,Rho guanine nucleotide exchange factor 10-like protein,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q7TSG2,CTDP1,RNA polymerase II subunit A C-terminal domain phosphatase,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q6PDC0,RUNDC3B,RUN domain-containing protein 3B,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9D1J3,SARNP,SAP domain-containing ribonucleoprotein,Gel-LC only,2,41,,,,,,,,
List 1 and 2,A2AIW0,SDCCAG3,Serologically defined colon cancer antigen 3 homolog,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8VD37,SGIP1,SH3-containing GRB2-like protein 3-interacting protein 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P46062,SIPA1,Signal-induced proliferation-associated protein 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9Z1F9,UBA2,SUMO-activating enzyme subunit 2,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P97360,ETV6,Transcription factor ETV6,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8R1V4,TMED4,Transmembrane emp24 domain-containing protein 4,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q9ES00,UBE4B,Ubiquitin conjugation factor E4 B,Gel-LC only,2,41,,,,,,,,
List 1 and 2,Q8C170,MYO9A,Unconventional myosin-IXa,Gel-LC only,2,41,,,,,,,,
List 1 and 2,P15919,RAG1,V(D)J recombination-activating protein 1,Gel-LC only,2,41,,,,,,,,
List 1 and 2,O88466,ZFP106,Zinc finger protein 106,Gel-LC only,3,41,,,,,,,,
List 1 and 2,Q07643,COL9A2,Collagen alpha-2(IX) chain,Gel-LC only,2,40,,,,,Yes,,,
List 1 and 2,Q8C147,DOCK8,Dedicator of cytokinesis protein 8,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9JK91,MLH1,DNA mismatch repair protein Mlh1,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8R2Y3,DOLK,Dolichol kinase,Gel-LC only,2,40,,,,,,,,
List 1 and 2,O08796,EEF2K,Eukaryotic elongation factor 2 kinase,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8BMF8,GLDN,Gliomedin,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q61625,GRID2,"Glutamate receptor ionotropic, delta-2",Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8BQM4,HEATR3,HEAT repeat-containing protein 3,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9Z329,ITPR2,"Inositol 1,4,5-trisphosphate receptor type 2",Gel-LC only,2,40,Yes,,,,,,,
List 1 and 2,Q9QXL2,KIF21A,Kinesin-like protein KIF21A,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9JIA1,LGI1,Leucine-rich glioma-inactivated protein 1,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q6PB66,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8BMT4,LRRC33,Leucine-rich repeat-containing protein 33,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9ESE1,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q5SWW4,MED13,Mediator of RNA polymerase II transcription subunit 13,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q61468,MSLN,Mesothelin,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8VBX6,MPDZ,Multiple PDZ domain protein,Gel-LC only,2,40,,,Yes,,,Yes,,
List 1 and 2,Q810U3,NFASC,Neurofascin,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8CAE9,PODXL2,Podocalyxin-like protein 2,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q920E3,KCNH5,Potassium voltage-gated channel subfamily H member 5,Gel-LC only,2,40,Yes,,,,,,,
List 1 and 2,Q8CFS6,KCNV2,Potassium voltage-gated channel subfamily V member 2,Gel-LC only,2,40,Yes,,,,,,,
List 1 and 2,Q6AXC6,DDX11,Probable ATP-dependent RNA helicase DDX11,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q6PCP7,GPR156,Probable G-protein coupled receptor 156,Gel-LC only,2,40,,,,,,,,
List 1 and 2,P48437,PROX1,Prospero homeobox protein 1,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8CI08,SLAIN2,SLAIN motif-containing protein 2,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q80TR4,SLIT1,Slit homolog 1 protein,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q02384,SOS2,Son of sevenless homolog 2,Gel-LC only,2,40,,,,,,,,
List 1 and 2,O54988,SLK,STE20-like serine/threonine-protein kinase,Gel-LC only,2,40,,,,,,,,
List 1 and 2,P10711,TCEA1,Transcription elongation factor A protein 1,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q8CIR4,TRPM6,Transient receptor potential cation channel subfamily M member 6,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9R0G7,ZEB2,Zinc finger E-box-binding homeobox 2,Gel-LC only,2,40,,,,,,,,
List 1 and 2,Q9JHJ5,HTR3B,5-hydroxytryptamine receptor 3B,,,,,,,,,,,
List 1 and 2,A2AH22,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1,,,,,,,,,,,
List 1 and 2,P84078,ARF1,ADP-ribosylation factor 1,,,,,,,,,,,
List 1 and 2,P47739,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",,,,,,,,,,,
